gcLogFile; shenandoah_1250M.log; -
totalHeapAllocMax; 1,250; M
totalHeapUsedMax; 761; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 268.566; M
avgfootprintAfterGCσ; 127.792; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 15.296; M/s
avgRelativePostGCInc; 3,840.477; K/coll
freedMemoryByGC; 4,165; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 53.397; M/coll
avgFreedMemoryByGCσ; 28.727; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 78; -
avgPauseIsSig; false; bool
avgPause; 0.00027; s
avgPauseσ; 0.00024; s
minPause; 0.00004; s
maxPause; 0.00087; s
gcPauseCount; 78; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00027; s
avgGCPauseσ; 0.00024; s
avgFullGCPause; 0; s
accumPause; 0.02; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.02; s
gcPausePc; 100.0; %
footprint; 1,250; M
freedMemory; 4,165; M
throughput; 99.88; %
totalTime; 17; s
freedMemoryPerMin; 14,700.000; M/min
gcPerformance; 208,250.000; M/s
fullGCPerformance; 0; M/s
