gcLogFile; zgc_nogen_1000M.log; -
totalHeapAllocMax; 1,000; M
totalHeapUsedMax; 800; M
totalHeapUsedMaxpc; 80.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 288; M
avgfootprintAfterGCσ; 168.828; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 24.614; M/s
avgRelativePostGCInc; 3,970.861; K/coll
freedMemoryByGC; 5,560; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 150.27; M/coll
avgFreedMemoryByGCσ; 130.03; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 37; -
avgPauseIsSig; false; bool
avgPause; 0.00006; s
avgPauseσ; 0.00002; s
minPause; 0.00003; s
maxPause; 0.00012; s
gcPauseCount; 37; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00006; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; 0; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 1,000; M
freedMemory; 5,560; M
throughput; 99.99; %
totalTime; 19; s
freedMemoryPerMin; 16,912.515; M/min
gcPerformance; 2,732,186.732; M/s
fullGCPerformance; 0; M/s
