gcLogFile; shenandoah_1000M.log; -
totalHeapAllocMax; 951; M
totalHeapUsedMax; 511; M
totalHeapUsedMaxpc; 53.7; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 743.747; K
avgfootprintAfterGCσ; 7,249.153; K
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 13.140; M/s
avgRelativePostGCInc; 2,748.397; K/coll
freedMemoryByGC; 442; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 4,764.295; K/coll
avgFreedMemoryByGCσ; 45.348; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 95; -
avgPauseIsSig; false; bool
avgPause; 0.00053; s
avgPauseσ; 0.00216; s
minPause; 0.00005; s
maxPause; 0.02117; s
gcPauseCount; 95; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00053; s
avgGCPauseσ; 0.00216; s
avgFullGCPause; 0; s
accumPause; 0.05; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.05; s
gcPausePc; 100.0; %
footprint; 951; M
freedMemory; 442; M
throughput; 99.75; %
totalTime; 20; s
freedMemoryPerMin; 1,309.727; M/min
gcPerformance; 8,791.296; M/s
fullGCPerformance; 0; M/s
