gcLogFile; shenandoah_750M.log; -
totalHeapAllocMax; 750; M
totalHeapUsedMax; 433; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 165.720; M
avgfootprintAfterGCσ; 93.997; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 12.058; M/s
avgRelativePostGCInc; 2,140.686; K/coll
freedMemoryByGC; 2,805; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 22.992; M/coll
avgFreedMemoryByGCσ; 12.402; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 122; -
avgPauseIsSig; false; bool
avgPause; 0.00029; s
avgPauseσ; 0.00026; s
minPause; 0.00005; s
maxPause; 0.00108; s
gcPauseCount; 122; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00029; s
avgGCPauseσ; 0.00026; s
avgFullGCPause; 0; s
accumPause; 0.04; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.04; s
gcPausePc; 100.0; %
footprint; 750; M
freedMemory; 2,805; M
throughput; 99.83; %
totalTime; 20; s
freedMemoryPerMin; 8,415.000; M/min
gcPerformance; 70,125.000; M/s
fullGCPerformance; 0; M/s
