gcLogFile; zgc_nogen_750M.log; -
totalHeapAllocMax; 750; M
totalHeapUsedMax; 606; M
totalHeapUsedMaxpc; 80.8; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 254.174; M
avgfootprintAfterGCσ; 148.348; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 18.231; M/s
avgRelativePostGCInc; 3,420.959; K/coll
freedMemoryByGC; 4,466; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 97.087; M/coll
avgFreedMemoryByGCσ; 113.455; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 46; -
avgPauseIsSig; false; bool
avgPause; 0.00006; s
avgPauseσ; 0.00002; s
minPause; 0.00003; s
maxPause; 0.00015; s
gcPauseCount; 46; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00006; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; 0; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 750; M
freedMemory; 4,466; M
throughput; 99.99; %
totalTime; 20; s
freedMemoryPerMin; 13,051.457; M/min
gcPerformance; 1,744,531.25; M/s
fullGCPerformance; 0; M/s
