gcLogFile; zgc_nogen_1750M.log; -
totalHeapAllocMax; 1,518; M
totalHeapUsedMax; 1,324; M
totalHeapUsedMaxpc; 87.2; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 291.176; M
avgfootprintAfterGCσ; 200.32; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 28.354; M/s
avgRelativePostGCInc; 6,210.280; K/coll
freedMemoryByGC; 6,248; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 367.529; M/coll
avgFreedMemoryByGCσ; 284.429; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 17; -
avgPauseIsSig; false; bool
avgPause; 0.00006; s
avgPauseσ; 0.00002; s
minPause; 0.00004; s
maxPause; 0.0001; s
gcPauseCount; 17; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00006; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; 0; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 1,518; M
freedMemory; 6,248; M
throughput; 99.99; %
totalTime; 18; s
freedMemoryPerMin; 20,230.872; M/min
gcPerformance; 6,675,213.675; M/s
fullGCPerformance; 0; M/s
