gcLogFile; shenandoah_1500M.log; -
totalHeapAllocMax; 1,500; M
totalHeapUsedMax; 966; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 288.235; M
avgfootprintAfterGCσ; 158.008; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 14.000; M/s
avgRelativePostGCInc; 4,693.055; K/coll
freedMemoryByGC; 5,413; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 77.329; M/coll
avgFreedMemoryByGCσ; 50.672; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 70; -
avgPauseIsSig; false; bool
avgPause; 0.0003; s
avgPauseσ; 0.00026; s
minPause; 0.00007; s
maxPause; 0.00092; s
gcPauseCount; 70; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.0003; s
avgGCPauseσ; 0.00026; s
avgFullGCPause; 0; s
accumPause; 0.02; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.02; s
gcPausePc; 100.0; %
footprint; 1,500; M
freedMemory; 5,413; M
throughput; 99.89; %
totalTime; 18; s
freedMemoryPerMin; 18,043.333; M/min
gcPerformance; 270,650.000; M/s
fullGCPerformance; 0; M/s
