gcLogFile; zgc_nogen_1250M.log; -
totalHeapAllocMax; 1,250; M
totalHeapUsedMax; 940; M
totalHeapUsedMaxpc; 75.2; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 317.688; M
avgfootprintAfterGCσ; 212.557; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 24.136; M/s
avgRelativePostGCInc; 4,573.991; K/coll
freedMemoryByGC; 5,786; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 180.812; M/coll
avgFreedMemoryByGCσ; 174.287; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 32; -
avgPauseIsSig; false; bool
avgPause; 0.00006; s
avgPauseσ; 0.00003; s
minPause; 0.00003; s
maxPause; 0.00017; s
gcPauseCount; 32; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00006; s
avgGCPauseσ; 0.00003; s
avgFullGCPause; 0; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 1,250; M
freedMemory; 5,786; M
throughput; 99.99; %
totalTime; 19; s
freedMemoryPerMin; 17,556.325; M/min
gcPerformance; 2,833,496.572; M/s
fullGCPerformance; 0; M/s
