gcLogFile; shenandoah_2000M.log; -
totalHeapAllocMax; 2,000; M
totalHeapUsedMax; 1,269; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 407.426; M
avgfootprintAfterGCσ; 254.729; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 16.038; M/s
avgRelativePostGCInc; 5,051.032; K/coll
freedMemoryByGC; 6,558; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 96.441; M/coll
avgFreedMemoryByGCσ; 50.570; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 68; -
avgPauseIsSig; false; bool
avgPause; 0.00032; s
avgPauseσ; 0.00029; s
minPause; 0.00006; s
maxPause; 0.00114; s
gcPauseCount; 68; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00032; s
avgGCPauseσ; 0.00029; s
avgFullGCPause; 0; s
accumPause; 0.02; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.02; s
gcPausePc; 100.0; %
footprint; 2,000; M
freedMemory; 6,558; M
throughput; 99.87; %
totalTime; 16; s
freedMemoryPerMin; 24,592.500; M/min
gcPerformance; 327,900.000; M/s
fullGCPerformance; 0; M/s
