gcLogFile; zgc_nogen_2000M.log; -
totalHeapAllocMax; 1,556; M
totalHeapUsedMax; 1,414; M
totalHeapUsedMaxpc; 90.9; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 292.625; M
avgfootprintAfterGCσ; 222.659; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 29.927; M/s
avgRelativePostGCInc; 6,229.243; K/coll
freedMemoryByGC; 6,414; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 400.875; M/coll
avgFreedMemoryByGCσ; 293.768; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 16; -
avgPauseIsSig; false; bool
avgPause; 0.00005; s
avgPauseσ; 0.00002; s
minPause; 0.00003; s
maxPause; 0.00011; s
gcPauseCount; 16; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00005; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; 0; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 1,556; M
freedMemory; 6,414; M
throughput; 100; %
totalTime; 18; s
freedMemoryPerMin; 20,949.253; M/min
gcPerformance; 7,590,532.544; M/s
fullGCPerformance; 0; M/s
