gcLogFile; shenandoah_1750M.log; -
totalHeapAllocMax; 1,750; M
totalHeapUsedMax; 1,089; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 353.043; M
avgfootprintAfterGCσ; 239.806; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 16.262; M/s
avgRelativePostGCInc; 4,951.109; K/coll
freedMemoryByGC; 6,730; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 93.472; M/coll
avgFreedMemoryByGCσ; 58.077; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 72; -
avgPauseIsSig; false; bool
avgPause; 0.00034; s
avgPauseσ; 0.00044; s
minPause; 0.00006; s
maxPause; 0.00323; s
gcPauseCount; 72; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00034; s
avgGCPauseσ; 0.00044; s
avgFullGCPause; 0; s
accumPause; 0.02; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.02; s
gcPausePc; 100.0; %
footprint; 1,750; M
freedMemory; 6,730; M
throughput; 99.86; %
totalTime; 16; s
freedMemoryPerMin; 25,237.500; M/min
gcPerformance; 336,500.000; M/s
fullGCPerformance; 0; M/s
