gcLogFile; zgc_nogen_500M.log; -
totalHeapAllocMax; 500; M
totalHeapUsedMax; 500; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 190; M
avgfootprintAfterGCσ; 94.118; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 15.250; M/s
avgRelativePostGCInc; 2,390.461; K/coll
freedMemoryByGC; 4,770; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 58.171; M/coll
avgFreedMemoryByGCσ; 108.094; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 82; -
avgPauseIsSig; false; bool
avgPause; 0.00006; s
avgPauseσ; 0.00003; s
minPause; 0.00003; s
maxPause; 0.00022; s
gcPauseCount; 82; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00006; s
avgGCPauseσ; 0.00003; s
avgFullGCPause; 0; s
accumPause; 0.01; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.01; s
gcPausePc; 100.0; %
footprint; 500; M
freedMemory; 4,770; M
throughput; 99.98; %
totalTime; 24; s
freedMemoryPerMin; 11,763.232; M/min
gcPerformance; 917,131.321; M/s
fullGCPerformance; 0; M/s
