gcLogFile; zgc_nogen_750M.log; -
totalHeapAllocMax; 750; M
totalHeapUsedMax; 750; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 261.564; M
avgfootprintAfterGCσ; 81.265; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 18.715; M/s
avgRelativePostGCInc; 3,444.197; K/coll
freedMemoryByGC; 41,172; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 94.431; M/coll
avgFreedMemoryByGCσ; 134.635; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 436; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00004; s
minPause; 0.00003; s
maxPause; 0.00056; s
gcPauseCount; 436; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00004; s
avgFullGCPause; 0; s
accumPause; 0.04; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.04; s
gcPausePc; 100.0; %
footprint; 750; M
freedMemory; 41,172; M
throughput; 99.97; %
totalTime; 109; s
freedMemoryPerMin; 22,637.516; M/min
gcPerformance; 1,121,669.482; M/s
fullGCPerformance; 0; M/s
