gcLogFile; zgc_nogen_1500M.log; -
totalHeapAllocMax; 1,500; M
totalHeapUsedMax; 1,306; M
totalHeapUsedMaxpc; 87.1; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 380.056; M
avgfootprintAfterGCσ; 147.673; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 24.762; M/s
avgRelativePostGCInc; 5,983.511; K/coll
freedMemoryByGC; 55,266; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 312.237; M/coll
avgFreedMemoryByGCσ; 228.121; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 177; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00003; s
minPause; 0.00003; s
maxPause; 0.00025; s
gcPauseCount; 177; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00003; s
avgFullGCPause; 0; s
accumPause; 0.01; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.01; s
gcPausePc; 100.0; %
footprint; 1,500; M
freedMemory; 55,266; M
throughput; 99.99; %
totalTime; 92; s
freedMemoryPerMin; 35,899.427; M/min
gcPerformance; 4,051,759.531; M/s
fullGCPerformance; 0; M/s
