gcLogFile; shenandoah_500M.log; -
totalHeapAllocMax; 479; M
totalHeapUsedMax; 380; M
totalHeapUsedMaxpc; 79.3; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 270.417; K
avgfootprintAfterGCσ; 9,802.385; K
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 11.652; M/s
avgRelativePostGCInc; 2,010.097; K/coll
freedMemoryByGC; 33; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 25.717; K/coll
avgFreedMemoryByGCσ; 932.215; K/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 1314; -
avgPauseIsSig; false; bool
avgPause; 0.00032; s
avgPauseσ; 0.00081; s
minPause; 0.00006; s
maxPause; 0.02405; s
gcPauseCount; 1314; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00032; s
avgGCPauseσ; 0.00081; s
avgFullGCPause; 0; s
accumPause; 0.42; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.42; s
gcPausePc; 100.0; %
footprint; 479; M
freedMemory; 33; M
throughput; 99.61; %
totalTime; 106; s
freedMemoryPerMin; 18.571; M/min
gcPerformance; 78.37; M/s
fullGCPerformance; 0; M/s
