gcLogFile; shenandoah_1750M.log; -
totalHeapAllocMax; 1,750; M
totalHeapUsedMax; 1,291; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 389.396; M
avgfootprintAfterGCσ; 236.861; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 18.152; M/s
avgRelativePostGCInc; 4,386.980; K/coll
freedMemoryByGC; 6,099; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 20.605; M/coll
avgFreedMemoryByGCσ; 11.301; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 296; -
avgPauseIsSig; false; bool
avgPause; 0.00034; s
avgPauseσ; 0.00029; s
minPause; 0.00008; s
maxPause; 0.00129; s
gcPauseCount; 296; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00034; s
avgGCPauseσ; 0.00029; s
avgFullGCPause; 0; s
accumPause; 0.1; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.1; s
gcPausePc; 100.0; %
footprint; 1,750; M
freedMemory; 6,099; M
throughput; 99.88; %
totalTime; 86; s
freedMemoryPerMin; 4,255.116; M/min
gcPerformance; 60,990.000; M/s
fullGCPerformance; 0; M/s
