gcLogFile; zgc_nogen_1000M.log; -
totalHeapAllocMax; 1,000; M
totalHeapUsedMax; 938; M
totalHeapUsedMaxpc; 93.8; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 296.882; M
avgfootprintAfterGCσ; 97.6; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 23.479; M/s
avgRelativePostGCInc; 4,237.914; K/coll
freedMemoryByGC; 47,188; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 150.76; M/coll
avgFreedMemoryByGCσ; 153.118; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 313; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00003; s
minPause; 0.00003; s
maxPause; 0.00028; s
gcPauseCount; 313; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00003; s
avgFullGCPause; 0; s
accumPause; 0.02; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.02; s
gcPausePc; 100.0; %
footprint; 1,000; M
freedMemory; 47,188; M
throughput; 99.98; %
totalTime; 98; s
freedMemoryPerMin; 28,691.515; M/min
gcPerformance; 1,936,474.064; M/s
fullGCPerformance; 0; M/s
