gcLogFile; shenandoah_1500M.log; -
totalHeapAllocMax; 1,500; M
totalHeapUsedMax; 1,008; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 330.475; M
avgfootprintAfterGCσ; 176.929; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 16.844; M/s
avgRelativePostGCInc; 4,314.165; K/coll
freedMemoryByGC; 4,542; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 12.617; M/coll
avgFreedMemoryByGCσ; 8.704; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 360; -
avgPauseIsSig; false; bool
avgPause; 0.00031; s
avgPauseσ; 0.00026; s
minPause; 0.00006; s
maxPause; 0.00119; s
gcPauseCount; 360; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00031; s
avgGCPauseσ; 0.00026; s
avgFullGCPause; 0; s
accumPause; 0.11; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.11; s
gcPausePc; 100.0; %
footprint; 1,500; M
freedMemory; 4,542; M
throughput; 99.87; %
totalTime; 87; s
freedMemoryPerMin; 3,132.414; M/min
gcPerformance; 41,290.909; M/s
fullGCPerformance; 0; M/s
