gcLogFile; zgc_nogen_1250M.log; -
totalHeapAllocMax; 1,250; M
totalHeapUsedMax; 1,170; M
totalHeapUsedMaxpc; 93.6; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 342.62; M
avgfootprintAfterGCσ; 131.397; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 23.949; M/s
avgRelativePostGCInc; 4,714.703; K/coll
freedMemoryByGC; 51,306; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 212.008; M/coll
avgFreedMemoryByGCσ; 180.032; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 242; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00003; s
minPause; 0.00004; s
maxPause; 0.00033; s
gcPauseCount; 242; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00003; s
avgFullGCPause; 0; s
accumPause; 0.02; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.02; s
gcPausePc; 100.0; %
footprint; 1,250; M
freedMemory; 51,306; M
throughput; 99.98; %
totalTime; 97; s
freedMemoryPerMin; 31,735.001; M/min
gcPerformance; 2,687,303.583; M/s
fullGCPerformance; 0; M/s
