gcLogFile; shenandoah_2000M.log; -
totalHeapAllocMax; 2,000; M
totalHeapUsedMax; 1,378; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 357.629; M
avgfootprintAfterGCσ; 231.286; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 20.097; M/s
avgRelativePostGCInc; 5,112.585; K/coll
freedMemoryByGC; 7,597; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 27.525; M/coll
avgFreedMemoryByGCσ; 16.292; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 276; -
avgPauseIsSig; false; bool
avgPause; 0.00036; s
avgPauseσ; 0.00029; s
minPause; 0.00006; s
maxPause; 0.00143; s
gcPauseCount; 276; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00036; s
avgGCPauseσ; 0.00029; s
avgFullGCPause; 0; s
accumPause; 0.1; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.1; s
gcPausePc; 100.0; %
footprint; 2,000; M
freedMemory; 7,597; M
throughput; 99.89; %
totalTime; 86; s
freedMemoryPerMin; 5,300.233; M/min
gcPerformance; 75,970.000; M/s
fullGCPerformance; 0; M/s
