gcLogFile; zgc_nogen_1750M.log; -
totalHeapAllocMax; 1,750; M
totalHeapUsedMax; 1,606; M
totalHeapUsedMaxpc; 91.8; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 388.275; M
avgfootprintAfterGCσ; 149.6; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 32.081; M/s
avgRelativePostGCInc; 6,914.314; K/coll
freedMemoryByGC; 63,046; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 481.267; M/coll
avgFreedMemoryByGCσ; 277.531; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 131; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00003; s
minPause; 0.00003; s
maxPause; 0.00019; s
gcPauseCount; 131; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00003; s
avgFullGCPause; 0; s
accumPause; 0.01; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.01; s
gcPausePc; 100.0; %
footprint; 1,750; M
freedMemory; 63,046; M
throughput; 99.99; %
totalTime; 88; s
freedMemoryPerMin; 42,550.706; M/min
gcPerformance; 6,210,204.886; M/s
fullGCPerformance; 0; M/s
