gcLogFile; zgc_nogen_500M.log; -
totalHeapAllocMax; 500; M
totalHeapUsedMax; 500; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 245.445; M
avgfootprintAfterGCσ; 77.929; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 15.061; M/s
avgRelativePostGCInc; 2,463.229; K/coll
freedMemoryByGC; 35,258; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 58.96; M/coll
avgFreedMemoryByGCσ; 111.431; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 598; -
avgPauseIsSig; false; bool
avgPause; 0.0001; s
avgPauseσ; 0.00006; s
minPause; 0.00003; s
maxPause; 0.00063; s
gcPauseCount; 598; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.0001; s
avgGCPauseσ; 0.00006; s
avgFullGCPause; 0; s
accumPause; 0.06; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.06; s
gcPausePc; 100.0; %
footprint; 500; M
freedMemory; 35,258; M
throughput; 99.95; %
totalTime; 130; s
freedMemoryPerMin; 16,256.533; M/min
gcPerformance; 581,795.98; M/s
fullGCPerformance; 0; M/s
