gcLogFile; shenandoah_1000M.log; -
totalHeapAllocMax; 1,000; M
totalHeapUsedMax; 691; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 198.417; M
avgfootprintAfterGCσ; 128.247; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 13.541; M/s
avgRelativePostGCInc; 3,435.749; K/coll
freedMemoryByGC; 3,078; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 5.830; M/coll
avgFreedMemoryByGCσ; 3.396; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 528; -
avgPauseIsSig; false; bool
avgPause; 0.0004; s
avgPauseσ; 0.00105; s
minPause; 0.00005; s
maxPause; 0.02347; s
gcPauseCount; 528; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.0004; s
avgGCPauseσ; 0.00105; s
avgFullGCPause; 0; s
accumPause; 0.21; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.21; s
gcPausePc; 100.0; %
footprint; 1,000; M
freedMemory; 3,078; M
throughput; 99.77; %
totalTime; 93; s
freedMemoryPerMin; 1,985.806; M/min
gcPerformance; 14,657.143; M/s
fullGCPerformance; 0; M/s
