gcLogFile; zgc_nogen_500M.log; -
totalHeapAllocMax; 500; M
totalHeapUsedMax; 500; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 158; M
avgfootprintAfterGCσ; 206.511; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 16.395; M/s
avgRelativePostGCInc; 2,474.898; K/coll
freedMemoryByGC; 938; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 72.154; M/coll
avgFreedMemoryByGCσ; 143.023; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 13; -
avgPauseIsSig; false; bool
avgPause; 0.00007; s
avgPauseσ; 0.00005; s
minPause; 0.00003; s
maxPause; 0.0002; s
gcPauseCount; 13; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00007; s
avgGCPauseσ; 0.00005; s
avgFullGCPause; 0; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 500; M
freedMemory; 938; M
throughput; 99.99; %
totalTime; 10; s
freedMemoryPerMin; 5,198.075; M/min
gcPerformance; 964,028.777; M/s
fullGCPerformance; 0; M/s
