gcLogFile; shenandoah_2000M.log; -
totalHeapAllocMax; 2,000; M
totalHeapUsedMax; 1,249; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 420.043; M
avgfootprintAfterGCσ; 204.122; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 19.838; M/s
avgRelativePostGCInc; 5,563.446; K/coll
freedMemoryByGC; 7,461; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 48.448; M/coll
avgFreedMemoryByGCσ; 31.179; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 154; -
avgPauseIsSig; false; bool
avgPause; 0.00055; s
avgPauseσ; 0.00196; s
minPause; 0.00006; s
maxPause; 0.02422; s
gcPauseCount; 154; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00055; s
avgGCPauseσ; 0.00196; s
avgFullGCPause; 0; s
accumPause; 0.08; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.08; s
gcPausePc; 100.0; %
footprint; 2,000; M
freedMemory; 7,461; M
throughput; 99.85; %
totalTime; 55; s
freedMemoryPerMin; 8,139.273; M/min
gcPerformance; 93,262.500; M/s
fullGCPerformance; 0; M/s
