gcLogFile; shenandoah_1000M.log; -
totalHeapAllocMax; 1,000; M
totalHeapUsedMax; 600; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 185.270; M
avgfootprintAfterGCσ; 113.817; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 14.137; M/s
avgRelativePostGCInc; 3,420.200; K/coll
freedMemoryByGC; 3,268; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 9.078; M/coll
avgFreedMemoryByGCσ; 5.678; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 360; -
avgPauseIsSig; false; bool
avgPause; 0.00048; s
avgPauseσ; 0.00137; s
minPause; 0.00004; s
maxPause; 0.02502; s
gcPauseCount; 360; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00048; s
avgGCPauseσ; 0.00137; s
avgFullGCPause; 0; s
accumPause; 0.17; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.17; s
gcPausePc; 100.0; %
footprint; 1,000; M
freedMemory; 3,268; M
throughput; 99.78; %
totalTime; 79; s
freedMemoryPerMin; 2,482.025; M/min
gcPerformance; 19,223.529; M/s
fullGCPerformance; 0; M/s
