gcLogFile; zgc_nogen_2000M.log; -
totalHeapAllocMax; 2,000; M
totalHeapUsedMax; 1,498; M
totalHeapUsedMaxpc; 74.9; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 570.537; M
avgfootprintAfterGCσ; 355.748; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 31.081; M/s
avgRelativePostGCInc; 5,792.028; K/coll
freedMemoryByGC; 14,618; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 218.179; M/coll
avgFreedMemoryByGCσ; 357.578; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 67; -
avgPauseIsSig; false; bool
avgPause; 0.00007; s
avgPauseσ; 0.00003; s
minPause; 0.00003; s
maxPause; 0.00018; s
gcPauseCount; 67; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00007; s
avgGCPauseσ; 0.00003; s
avgFullGCPause; 0; s
accumPause; 0.01; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.01; s
gcPausePc; 100.0; %
footprint; 2,000; M
freedMemory; 14,618; M
throughput; 99.99; %
totalTime; 60; s
freedMemoryPerMin; 14,490.235; M/min
gcPerformance; 2,923,015.397; M/s
fullGCPerformance; 0; M/s
