gcLogFile; shenandoah_1500M.log; -
totalHeapAllocMax; 1,500; M
totalHeapUsedMax; 1,047; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 283.114; M
avgfootprintAfterGCσ; 158.854; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 15.257; M/s
avgRelativePostGCInc; 4,541.395; K/coll
freedMemoryByGC; 4,957; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 24.540; M/coll
avgFreedMemoryByGCσ; 15.193; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 202; -
avgPauseIsSig; false; bool
avgPause; 0.00071; s
avgPauseσ; 0.00282; s
minPause; 0.00006; s
maxPause; 0.02394; s
gcPauseCount; 202; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00071; s
avgGCPauseσ; 0.00282; s
avgFullGCPause; 0; s
accumPause; 0.14; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.14; s
gcPausePc; 100.0; %
footprint; 1,500; M
freedMemory; 4,957; M
throughput; 99.76; %
totalTime; 58; s
freedMemoryPerMin; 5,127.931; M/min
gcPerformance; 35,407.143; M/s
fullGCPerformance; 0; M/s
