gcLogFile; zgc_nogen_750M.log; -
totalHeapAllocMax; 750; M
totalHeapUsedMax; 750; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 432.133; M
avgfootprintAfterGCσ; 349.935; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 21.154; M/s
avgRelativePostGCInc; 3,464.889; K/coll
freedMemoryByGC; 966; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 64.4; M/coll
avgFreedMemoryByGCσ; 202.627; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 15; -
avgPauseIsSig; false; bool
avgPause; 0.00006; s
avgPauseσ; 0.00002; s
minPause; 0.00003; s
maxPause; 0.00012; s
gcPauseCount; 15; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00006; s
avgGCPauseσ; 0.00002; s
avgFullGCPause; 0; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0; s
gcPausePc; 100.0; %
footprint; 750; M
freedMemory; 966; M
throughput; 99.99; %
totalTime; 16; s
freedMemoryPerMin; 3,520.609; M/min
gcPerformance; 1,096,481.271; M/s
fullGCPerformance; 0; M/s
