gcLogFile; zgc_nogen_1500M.log; -
totalHeapAllocMax; 1,500; M
totalHeapUsedMax; 1,126; M
totalHeapUsedMaxpc; 75.1; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 535.512; M
avgfootprintAfterGCσ; 314.652; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 27.545; M/s
avgRelativePostGCInc; 5,610.882; K/coll
freedMemoryByGC; 13,334; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 162.61; M/coll
avgFreedMemoryByGCσ; 254.397; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 82; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00004; s
minPause; 0.00004; s
maxPause; 0.00021; s
gcPauseCount; 82; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00004; s
avgFullGCPause; 0; s
accumPause; 0.01; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.01; s
gcPausePc; 100.0; %
footprint; 1,500; M
freedMemory; 13,334; M
throughput; 99.99; %
totalTime; 65; s
freedMemoryPerMin; 12,152.192; M/min
gcPerformance; 2,029,528.158; M/s
fullGCPerformance; 0; M/s
