gcLogFile; shenandoah_750M.log; -
totalHeapAllocMax; 750; M
totalHeapUsedMax; 477; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 134.519; M
avgfootprintAfterGCσ; 94.434; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 11.271; M/s
avgRelativePostGCInc; 2,242.415; K/coll
freedMemoryByGC; 2,899; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 4.914; M/coll
avgFreedMemoryByGCσ; 3.143; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 590; -
avgPauseIsSig; false; bool
avgPause; 0.00054; s
avgPauseσ; 0.00197; s
minPause; 0.00005; s
maxPause; 0.02429; s
gcPauseCount; 590; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00054; s
avgGCPauseσ; 0.00197; s
avgFullGCPause; 0; s
accumPause; 0.32; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.32; s
gcPausePc; 100.0; %
footprint; 750; M
freedMemory; 2,899; M
throughput; 99.68; %
totalTime; 100; s
freedMemoryPerMin; 1,739.400; M/min
gcPerformance; 9,059.375; M/s
fullGCPerformance; 0; M/s
