gcLogFile; zgc_nogen_1750M.log; -
totalHeapAllocMax; 1,750; M
totalHeapUsedMax; 1,292; M
totalHeapUsedMaxpc; 73.8; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 558.849; M
avgfootprintAfterGCσ; 342.051; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 32.026; M/s
avgRelativePostGCInc; 6,532.054; K/coll
freedMemoryByGC; 12,602; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 172.63; M/coll
avgFreedMemoryByGCσ; 294.686; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 73; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00004; s
minPause; 0.00003; s
maxPause; 0.00022; s
gcPauseCount; 73; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00004; s
avgFullGCPause; 0; s
accumPause; 0.01; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.01; s
gcPausePc; 100.0; %
footprint; 1,750; M
freedMemory; 12,602; M
throughput; 99.99; %
totalTime; 62; s
freedMemoryPerMin; 12,131.298; M/min
gcPerformance; 2,062,858.078; M/s
fullGCPerformance; 0; M/s
