gcLogFile; zgc_nogen_1000M.log; -
totalHeapAllocMax; 1,000; M
totalHeapUsedMax; 990; M
totalHeapUsedMaxpc; 99.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 464.253; M
avgfootprintAfterGCσ; 235.656; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 21.555; M/s
avgRelativePostGCInc; 3,465.791; K/coll
freedMemoryByGC; 12,482; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 83.213; M/coll
avgFreedMemoryByGCσ; 244.792; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 150; -
avgPauseIsSig; false; bool
avgPause; 0.00008; s
avgPauseσ; 0.00003; s
minPause; 0.00003; s
maxPause; 0.00022; s
gcPauseCount; 150; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00008; s
avgGCPauseσ; 0.00003; s
avgFullGCPause; 0; s
accumPause; 0.01; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.01; s
gcPausePc; 100.0; %
footprint; 1,000; M
freedMemory; 12,482; M
throughput; 99.99; %
totalTime; 88; s
freedMemoryPerMin; 8,429.982; M/min
gcPerformance; 1,015,539.826; M/s
fullGCPerformance; 0; M/s
