gcLogFile; shenandoah_1250M.log; -
totalHeapAllocMax; 1,250; M
totalHeapUsedMax; 799; M
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
avgfootprintAfterGC; 278.869; M
avgfootprintAfterGCσ; 151.630; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 15.752; M/s
avgRelativePostGCInc; 3,206.684; K/coll
freedMemoryByGC; 4,992; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 19.968; M/coll
avgFreedMemoryByGCσ; 10.825; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; 0; M
promotionTotal; 0; M
pauseCount; 250; -
avgPauseIsSig; false; bool
avgPause; 0.00044; s
avgPauseσ; 0.00156; s
minPause; 0.00006; s
maxPause; 0.02428; s
gcPauseCount; 250; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00044; s
avgGCPauseσ; 0.00156; s
avgFullGCPause; 0; s
accumPause; 0.11; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.11; s
gcPausePc; 100.0; %
footprint; 1,250; M
freedMemory; 4,992; M
throughput; 99.82; %
totalTime; 61; s
freedMemoryPerMin; 4,910.164; M/min
gcPerformance; 45,381.818; M/s
fullGCPerformance; 0; M/s
